Sales Person,Country,Product,Date,Amount,Boxes Shipped,3%,5%,First Name,Second Name
Andria Kimpton,Canada,Smooth Sliky Salty,08-07-22,"$1,155.00 ",79,$34.65 ,$57.75 ,Andria,Kimpton
Gunar Cockshoot,UK,Raspberry Choco,11-08-22,"$6,811.00 ",344,$204.33 ,$340.55 ,Gunar,Cockshoot
Husein Augar,New Zealand,After Nines,04-08-22,"$6,433.00 ",7,$192.99 ,$321.65 ,Husein,Augar
Andria Kimpton,New Zealand,Orange Choco,14-06-22,"$8,169.00 ",88,$245.07 ,$408.45 ,Andria,Kimpton
Dennison Crosswaite,UK,Baker's Choco Chips,17-01-22,"$2,275.00 ",275,$68.25 ,$113.75 ,Dennison,Crosswaite
Jehu Rudeforth,Canada,Orange Choco,23-06-22,"$3,857.00 ",512,$115.71 ,$192.85 ,Jehu,Rudeforth
Jehu Rudeforth,UK,Smooth Sliky Salty,24-08-22,"$1,463.00 ",113,$43.89 ,$73.15 ,Jehu,Rudeforth
Andria Kimpton,UK,Caramel Stuffed Bars,07-06-22,"$7,924.00 ",275,$237.72 ,$396.20 ,Andria,Kimpton
Jan Morforth,UK,White Choc,22-06-22,"$8,799.00 ",47,$263.97 ,$439.95 ,Jan,Morforth
Dotty Strutley,USA,Fruit & Nut Bars,13-07-22,"$2,898.00 ",276,$86.94 ,$144.90 ,Dotty,Strutley
Kelci Walkden,UK,Choco Coated Almonds,24-05-22,"$9,506.00 ",212,$285.18 ,$475.30 ,Kelci,Walkden
Gunar Cockshoot,New Zealand,After Nines,09-08-22,"$7,175.00 ",145,$215.25 ,$358.75 ,Gunar,Cockshoot
Kaine Padly,Canada,85% Dark Bars,06-04-22,"$1,729.00 ",31,$51.87 ,$86.45 ,Kaine,Padly
Jan Morforth,New Zealand,Manuka Honey Choco,28-07-22,"$1,589.00 ",271,$47.67 ,$79.45 ,Jan,Morforth
Gunar Cockshoot,New Zealand,Raspberry Choco,24-08-22,$630.00 ,52,$18.90 ,$31.50 ,Gunar,Cockshoot
Van Tuxwell,Australia,99% Dark & Pure,17-01-22,$112.00 ,128,$3.36 ,$5.60 ,Van,Tuxwell
Curtice Advani,USA,Drinking Coco,07-02-22,"$5,187.00 ",142,$155.61 ,$259.35 ,Curtice,Advani
Brien Boise,Australia,Spicy Special Slims,09-05-22,"$6,223.00 ",256,$186.69 ,$311.15 ,Brien,Boise
Mallorie Waber,New Zealand,85% Dark Bars,06-06-22,"$7,714.00 ",106,$231.42 ,$385.70 ,Mallorie,Waber
Wilone O'Kielt,USA,Choco Coated Almonds,06-06-22,"$9,457.00 ",6,$283.71 ,$472.85 ,Wilone,O'Kielt
Beverie Moffet,New Zealand,Organic Choco Syrup,24-05-22,"$6,678.00 ",226,$200.34 ,$333.90 ,Beverie,Moffet
Gunar Cockshoot,UK,50% Dark Bites,13-01-22,"$2,107.00 ",121,$63.21 ,$105.35 ,Gunar,Cockshoot
Marney O'Breen,USA,Raspberry Choco,23-05-22,"$6,069.00 ",151,$182.07 ,$303.45 ,Marney,O'Breen
Jehu Rudeforth,UK,White Choc,29-06-22,"$1,862.00 ",284,$55.86 ,$93.10 ,Jehu,Rudeforth
Jehu Rudeforth,New Zealand,85% Dark Bars,11-03-22,"$6,972.00 ",89,$209.16 ,$348.60 ,Jehu,Rudeforth
Dotty Strutley,USA,85% Dark Bars,25-04-22,"$10,220.00 ",508,$306.60 ,$511.00 ,Dotty,Strutley
Rafaelita Blaksland,Australia,Smooth Sliky Salty,30-05-22,"$3,969.00 ",243,$119.07 ,$198.45 ,Rafaelita,Blaksland
Curtice Advani,India,Manuka Honey Choco,23-05-22,"$1,547.00 ",170,$46.41 ,$77.35 ,Curtice,Advani
Mallorie Waber,USA,Peanut Butter Cubes,23-05-22,"$1,162.00 ",18,$34.86 ,$58.10 ,Mallorie,Waber
Van Tuxwell,Canada,Peanut Butter Cubes,24-06-22,"$6,342.00 ",282,$190.26 ,$317.10 ,Van,Tuxwell
Kelci Walkden,New Zealand,Smooth Sliky Salty,11-03-22,"$10,633.00 ",277,$318.99 ,$531.65 ,Kelci,Walkden
Rafaelita Blaksland,USA,Smooth Sliky Salty,27-07-22,"$15,057.00 ",212,$451.71 ,$752.85 ,Rafaelita,Blaksland
Rafaelita Blaksland,USA,White Choc,16-08-22,"$4,704.00 ",126,$141.12 ,$235.20 ,Rafaelita,Blaksland
Roddy Speechley,Canada,Smooth Sliky Salty,07-03-22,"$9,338.00 ",11,$280.14 ,$466.90 ,Roddy,Speechley
Curtice Advani,New Zealand,After Nines,05-04-22,"$7,959.00 ",30,$238.77 ,$397.95 ,Curtice,Advani
Camilla Castle,India,85% Dark Bars,04-05-22,"$9,023.00 ",51,$270.69 ,$451.15 ,Camilla,Castle
Ches Bonnell,USA,Choco Coated Almonds,04-01-22,"$14,525.00 ",92,$435.75 ,$726.25 ,Ches,Bonnell
Marney O'Breen,Australia,Baker's Choco Chips,13-01-22,"$5,810.00 ",101,$174.30 ,$290.50 ,Marney,O'Breen
Wilone O'Kielt,New Zealand,Fruit & Nut Bars,11-07-22,"$6,426.00 ",98,$192.78 ,$321.30 ,Wilone,O'Kielt
Kaine Padly,Australia,Mint Chip Choco,17-05-22,"$4,403.00 ",159,$132.09 ,$220.15 ,Kaine,Padly
Camilla Castle,New Zealand,Peanut Butter Cubes,21-07-22,"$1,582.00 ",62,$47.46 ,$79.10 ,Camilla,Castle
Curtice Advani,Canada,Organic Choco Syrup,22-02-22,$791.00 ,22,$23.73 ,$39.55 ,Curtice,Advani
Jan Morforth,India,99% Dark & Pure,23-05-22,"$9,100.00 ",187,$273.00 ,$455.00 ,Jan,Morforth
Rafaelita Blaksland,Canada,Drinking Coco,12-07-22,"$9,884.00 ",200,$296.52 ,$494.20 ,Rafaelita,Blaksland
Jan Morforth,UK,Orange Choco,15-06-22,"$3,780.00 ",201,$113.40 ,$189.00 ,Jan,Morforth
Barr Faughny,New Zealand,50% Dark Bites,23-06-22,"$4,557.00 ",308,$136.71 ,$227.85 ,Barr,Faughny
Curtice Advani,Australia,Eclairs,25-03-22,"$5,796.00 ",55,$173.88 ,$289.80 ,Curtice,Advani
Jan Morforth,India,Caramel Stuffed Bars,04-07-22,$84.00 ,153,$2.52 ,$4.20 ,Jan,Morforth
Andria Kimpton,UK,White Choc,12-05-22,"$9,037.00 ",101,$271.11 ,$451.85 ,Andria,Kimpton
Camilla Castle,New Zealand,Raspberry Choco,04-04-22,"$4,746.00 ",137,$142.38 ,$237.30 ,Camilla,Castle
Madelene Upcott,Australia,Orange Choco,15-04-22,"$6,713.00 ",398,$201.39 ,$335.65 ,Madelene,Upcott
Roddy Speechley,Canada,Eclairs,08-03-22,"$6,237.00 ",88,$187.11 ,$311.85 ,Roddy,Speechley
Karlen McCaffrey,India,White Choc,17-01-22,"$7,483.00 ",232,$224.49 ,$374.15 ,Karlen,McCaffrey
Wilone O'Kielt,India,Mint Chip Choco,22-08-22,"$1,309.00 ",51,$39.27 ,$65.45 ,Wilone,O'Kielt
Andria Kimpton,UK,99% Dark & Pure,25-07-22,"$1,155.00 ",66,$34.65 ,$57.75 ,Andria,Kimpton
Marney O'Breen,UK,50% Dark Bites,14-06-22,"$2,989.00 ",124,$89.67 ,$149.45 ,Marney,O'Breen
Ches Bonnell,India,Choco Coated Almonds,05-04-22,"$9,625.00 ",78,$288.75 ,$481.25 ,Ches,Bonnell
Madelene Upcott,UK,Raspberry Choco,26-08-22,"$7,357.00 ",341,$220.71 ,$367.85 ,Madelene,Upcott
Wilone O'Kielt,Australia,50% Dark Bites,03-08-22,"$10,031.00 ",114,$300.93 ,$501.55 ,Wilone,O'Kielt
Gigi Bohling,Canada,White Choc,11-07-22,"$6,587.00 ",4,$197.61 ,$329.35 ,Gigi,Bohling
Wilone O'Kielt,New Zealand,Eclairs,11-03-22,"$3,311.00 ",22,$99.33 ,$165.55 ,Wilone,O'Kielt
Brien Boise,UK,Peanut Butter Cubes,10-01-22,"$15,330.00 ",30,$459.90 ,$766.50 ,Brien,Boise
Roddy Speechley,UK,Baker's Choco Chips,04-04-22,"$14,028.00 ",351,$420.84 ,$701.40 ,Roddy,Speechley
Karlen McCaffrey,Australia,50% Dark Bites,17-01-22,"$6,678.00 ",708,$200.34 ,$333.90 ,Karlen,McCaffrey
Marney O'Breen,New Zealand,Organic Choco Syrup,08-07-22,"$8,624.00 ",50,$258.72 ,$431.20 ,Marney,O'Breen
Jan Morforth,UK,Organic Choco Syrup,12-04-22,"$1,197.00 ",356,$35.91 ,$59.85 ,Jan,Morforth
Rafaelita Blaksland,Canada,Fruit & Nut Bars,24-08-22,$483.00 ,185,$14.49 ,$24.15 ,Rafaelita,Blaksland
Ches Bonnell,UK,Choco Coated Almonds,07-06-22,"$1,687.00 ",236,$50.61 ,$84.35 ,Ches,Bonnell
Gunar Cockshoot,Canada,Almond Choco,28-07-22,"$1,309.00 ",30,$39.27 ,$65.45 ,Gunar,Cockshoot
Husein Augar,USA,99% Dark & Pure,21-02-22,"$9,534.00 ",111,$286.02 ,$476.70 ,Husein,Augar
Dennison Crosswaite,Canada,Mint Chip Choco,08-04-22,"$1,694.00 ",289,$50.82 ,$84.70 ,Dennison,Crosswaite
Brien Boise,UK,Manuka Honey Choco,28-06-22,$70.00 ,103,$2.10 ,$3.50 ,Brien,Boise
Van Tuxwell,UK,Baker's Choco Chips,24-03-22,"$2,443.00 ",20,$73.29 ,$122.15 ,Van,Tuxwell
Barr Faughny,Australia,Caramel Stuffed Bars,29-07-22,"$2,933.00 ",55,$87.99 ,$146.65 ,Barr,Faughny
Dennison Crosswaite,USA,Eclairs,25-05-22,"$2,044.00 ",90,$61.32 ,$102.20 ,Dennison,Crosswaite
Gigi Bohling,Australia,Raspberry Choco,30-03-22,"$6,524.00 ",303,$195.72 ,$326.20 ,Gigi,Bohling
Dennison Crosswaite,USA,Organic Choco Syrup,18-07-22,"$12,656.00 ",126,$379.68 ,$632.80 ,Dennison,Crosswaite
Beverie Moffet,Canada,Orange Choco,10-05-22,"$8,722.00 ",109,$261.66 ,$436.10 ,Beverie,Moffet
Mallorie Waber,Australia,Choco Coated Almonds,18-03-22,"$15,750.00 ",92,$472.50 ,$787.50 ,Mallorie,Waber
Ches Bonnell,India,Caramel Stuffed Bars,15-06-22,"$6,839.00 ",56,$205.17 ,$341.95 ,Ches,Bonnell
Van Tuxwell,Canada,50% Dark Bites,12-05-22,"$13,685.00 ",58,$410.55 ,$684.25 ,Van,Tuxwell
Kelci Walkden,New Zealand,Baker's Choco Chips,23-06-22,"$2,912.00 ",110,$87.36 ,$145.60 ,Kelci,Walkden
Beverie Moffet,India,Spicy Special Slims,21-04-22,"$3,339.00 ",171,$100.17 ,$166.95 ,Beverie,Moffet
Gigi Bohling,Australia,Almond Choco,17-08-22,$910.00 ,117,$27.30 ,$45.50 ,Gigi,Bohling
Rafaelita Blaksland,New Zealand,Eclairs,07-02-22,"$19,481.00 ",51,$584.43 ,$974.05 ,Rafaelita,Blaksland
Kelci Walkden,Canada,Smooth Sliky Salty,17-03-22,"$8,099.00 ",118,$242.97 ,$404.95 ,Kelci,Walkden
Jan Morforth,India,Baker's Choco Chips,01-08-22,"$13,727.00 ",79,$411.81 ,$686.35 ,Jan,Morforth
Jehu Rudeforth,Australia,Milk Bars,18-03-22,"$8,659.00 ",29,$259.77 ,$432.95 ,Jehu,Rudeforth
Gigi Bohling,Canada,Fruit & Nut Bars,14-06-22,"$5,782.00 ",103,$173.46 ,$289.10 ,Gigi,Bohling
Beverie Moffet,UK,Eclairs,22-04-22,"$8,463.00 ",155,$253.89 ,$423.15 ,Beverie,Moffet
Marney O'Breen,New Zealand,Eclairs,18-01-22,"$4,914.00 ",31,$147.42 ,$245.70 ,Marney,O'Breen
Husein Augar,Australia,99% Dark & Pure,26-08-22,"$3,087.00 ",128,$92.61 ,$154.35 ,Husein,Augar
Gunar Cockshoot,New Zealand,Fruit & Nut Bars,10-06-22,"$9,205.00 ",419,$276.15 ,$460.25 ,Gunar,Cockshoot
Curtice Advani,Canada,70% Dark Bites,31-01-22,"$2,303.00 ",7,$69.09 ,$115.15 ,Curtice,Advani
Kelci Walkden,New Zealand,Manuka Honey Choco,08-04-22,"$1,358.00 ",106,$40.74 ,$67.90 ,Kelci,Walkden
Dotty Strutley,Australia,Baker's Choco Chips,07-06-22,"$3,605.00 ",68,$108.15 ,$180.25 ,Dotty,Strutley
Barr Faughny,Australia,85% Dark Bars,10-02-22,"$8,498.00 ",44,$254.94 ,$424.90 ,Barr,Faughny
Beverie Moffet,Australia,50% Dark Bites,16-05-22,$700.00 ,457,$21.00 ,$35.00 ,Beverie,Moffet
Gunar Cockshoot,India,Baker's Choco Chips,18-03-22,"$2,191.00 ",524,$65.73 ,$109.55 ,Gunar,Cockshoot
Van Tuxwell,Australia,50% Dark Bites,13-07-22,$644.00 ,137,$19.32 ,$32.20 ,Van,Tuxwell
Oby Sorrel,USA,Manuka Honey Choco,25-07-22,"$4,340.00 ",86,$130.20 ,$217.00 ,Oby,Sorrel
Van Tuxwell,Canada,Choco Coated Almonds,19-08-22,"$2,282.00 ",296,$68.46 ,$114.10 ,Van,Tuxwell
Karlen McCaffrey,Canada,70% Dark Bites,24-06-22,"$7,714.00 ",597,$231.42 ,$385.70 ,Karlen,McCaffrey
Kelci Walkden,Canada,Fruit & Nut Bars,20-06-22,$826.00 ,149,$24.78 ,$41.30 ,Kelci,Walkden
Camilla Castle,India,99% Dark & Pure,02-08-22,$203.00 ,207,$6.09 ,$10.15 ,Camilla,Castle
Madelene Upcott,New Zealand,70% Dark Bites,22-02-22,"$13,356.00 ",93,$400.68 ,$667.80 ,Madelene,Upcott
Mallorie Waber,New Zealand,Orange Choco,01-02-22,"$6,510.00 ",23,$195.30 ,$325.50 ,Mallorie,Waber
Jan Morforth,Canada,70% Dark Bites,14-02-22,"$5,894.00 ",305,$176.82 ,$294.70 ,Jan,Morforth
Kelci Walkden,Australia,Milk Bars,24-02-22,"$7,910.00 ",125,$237.30 ,$395.50 ,Kelci,Walkden
Dennison Crosswaite,India,Orange Choco,18-03-22,$784.00 ,129,$23.52 ,$39.20 ,Dennison,Crosswaite
Husein Augar,UK,Eclairs,30-08-22,"$1,750.00 ",252,$52.50 ,$87.50 ,Husein,Augar
Gigi Bohling,USA,Peanut Butter Cubes,09-05-22,$280.00 ,75,$8.40 ,$14.00 ,Gigi,Bohling
Wilone O'Kielt,USA,Smooth Sliky Salty,18-01-22,$504.00 ,87,$15.12 ,$25.20 ,Wilone,O'Kielt
Curtice Advani,India,White Choc,04-07-22,"$7,154.00 ",342,$214.62 ,$357.70 ,Curtice,Advani
Oby Sorrel,New Zealand,Spicy Special Slims,03-06-22,"$1,617.00 ",13,$48.51 ,$80.85 ,Oby,Sorrel
Beverie Moffet,New Zealand,Peanut Butter Cubes,23-02-22,"$10,822.00 ",30,$324.66 ,$541.10 ,Beverie,Moffet
Dotty Strutley,New Zealand,99% Dark & Pure,09-05-22,"$10,724.00 ",203,$321.72 ,$536.20 ,Dotty,Strutley
Kelci Walkden,India,70% Dark Bites,06-06-22,"$3,640.00 ",106,$109.20 ,$182.00 ,Kelci,Walkden
Kelci Walkden,India,Drinking Coco,04-07-22,"$7,532.00 ",234,$225.96 ,$376.60 ,Kelci,Walkden
Brien Boise,New Zealand,Drinking Coco,06-06-22,"$1,582.00 ",100,$47.46 ,$79.10 ,Brien,Boise
Dotty Strutley,Australia,Almond Choco,13-05-22,"$1,456.00 ",91,$43.68 ,$72.80 ,Dotty,Strutley
Wilone O'Kielt,New Zealand,Organic Choco Syrup,31-01-22,"$2,016.00 ",277,$60.48 ,$100.80 ,Wilone,O'Kielt
Ches Bonnell,New Zealand,Caramel Stuffed Bars,30-06-22,"$7,588.00 ",42,$227.64 ,$379.40 ,Ches,Bonnell
Barr Faughny,Canada,Manuka Honey Choco,25-08-22,"$3,402.00 ",249,$102.06 ,$170.10 ,Barr,Faughny
Gigi Bohling,New Zealand,Smooth Sliky Salty,10-01-22,$700.00 ,97,$21.00 ,$35.00 ,Gigi,Bohling
Brien Boise,USA,Manuka Honey Choco,22-08-22,"$1,904.00 ",8,$57.12 ,$95.20 ,Brien,Boise
Roddy Speechley,New Zealand,85% Dark Bars,14-04-22,"$4,844.00 ",275,$145.32 ,$242.20 ,Roddy,Speechley
Oby Sorrel,UK,Smooth Sliky Salty,31-05-22,"$9,625.00 ",313,$288.75 ,$481.25 ,Oby,Sorrel
Oby Sorrel,UK,Raspberry Choco,08-04-22,"$4,599.00 ",323,$137.97 ,$229.95 ,Oby,Sorrel
Roddy Speechley,USA,Drinking Coco,21-02-22,"$3,003.00 ",155,$90.09 ,$150.15 ,Roddy,Speechley
Andria Kimpton,Australia,Manuka Honey Choco,30-03-22,"$9,744.00 ",377,$292.32 ,$487.20 ,Andria,Kimpton
Mallorie Waber,India,Raspberry Choco,02-03-22,"$1,400.00 ",2,$42.00 ,$70.00 ,Mallorie,Waber
Jehu Rudeforth,USA,Orange Choco,28-07-22,$364.00 ,170,$10.92 ,$18.20 ,Jehu,Rudeforth
Kaine Padly,New Zealand,70% Dark Bites,24-03-22,"$7,231.00 ",38,$216.93 ,$361.55 ,Kaine,Padly
Curtice Advani,Australia,After Nines,11-08-22,$63.00 ,105,$1.89 ,$3.15 ,Curtice,Advani
Husein Augar,UK,Almond Choco,17-05-22,"$8,309.00 ",166,$249.27 ,$415.45 ,Husein,Augar
Kaine Padly,Canada,Choco Coated Almonds,18-05-22,"$3,164.00 ",164,$94.92 ,$158.20 ,Kaine,Padly
Roddy Speechley,UK,Peanut Butter Cubes,17-08-22,"$5,691.00 ",171,$170.73 ,$284.55 ,Roddy,Speechley
Ches Bonnell,New Zealand,Eclairs,04-04-22,$490.00 ,49,$14.70 ,$24.50 ,Ches,Bonnell
Brien Boise,India,85% Dark Bars,09-08-22,"$18,032.00 ",205,$540.96 ,$901.60 ,Brien,Boise
Brien Boise,New Zealand,Organic Choco Syrup,17-01-22,$637.00 ,313,$19.11 ,$31.85 ,Brien,Boise
Andria Kimpton,Canada,White Choc,14-02-22,"$4,067.00 ",29,$122.01 ,$203.35 ,Andria,Kimpton
Gigi Bohling,New Zealand,Orange Choco,16-05-22,"$8,204.00 ",307,$246.12 ,$410.20 ,Gigi,Bohling
Ches Bonnell,Canada,Smooth Sliky Salty,16-03-22,"$9,870.00 ",121,$296.10 ,$493.50 ,Ches,Bonnell
Husein Augar,Canada,70% Dark Bites,31-01-22,"$5,131.00 ",285,$153.93 ,$256.55 ,Husein,Augar
Barr Faughny,Canada,Organic Choco Syrup,10-03-22,"$1,141.00 ",205,$34.23 ,$57.05 ,Barr,Faughny
Oby Sorrel,UK,Organic Choco Syrup,30-06-22,"$7,980.00 ",157,$239.40 ,$399.00 ,Oby,Sorrel
Van Tuxwell,New Zealand,Eclairs,01-03-22,"$5,229.00 ",182,$156.87 ,$261.45 ,Van,Tuxwell
Mallorie Waber,UK,Drinking Coco,27-05-22,"$3,423.00 ",100,$102.69 ,$171.15 ,Mallorie,Waber
Oby Sorrel,UK,Milk Bars,11-07-22,"$6,468.00 ",223,$194.04 ,$323.40 ,Oby,Sorrel
Karlen McCaffrey,New Zealand,Mint Chip Choco,02-03-22,"$4,326.00 ",61,$129.78 ,$216.30 ,Karlen,McCaffrey
Jehu Rudeforth,USA,Raspberry Choco,04-03-22,"$7,154.00 ",133,$214.62 ,$357.70 ,Jehu,Rudeforth
Kelci Walkden,UK,85% Dark Bars,23-06-22,"$3,997.00 ",228,$119.91 ,$199.85 ,Kelci,Walkden
Kelci Walkden,USA,Almond Choco,27-01-22,"$5,180.00 ",233,$155.40 ,$259.00 ,Kelci,Walkden
Marney O'Breen,Canada,Orange Choco,14-01-22,"$2,723.00 ",425,$81.69 ,$136.15 ,Marney,O'Breen
Dennison Crosswaite,India,Fruit & Nut Bars,29-07-22,$952.00 ,24,$28.56 ,$47.60 ,Dennison,Crosswaite
Brien Boise,Canada,Smooth Sliky Salty,13-05-22,"$5,691.00 ",495,$170.73 ,$284.55 ,Brien,Boise
Barr Faughny,Canada,Baker's Choco Chips,03-02-22,"$10,969.00 ",170,$329.07 ,$548.45 ,Barr,Faughny
Brien Boise,India,Smooth Sliky Salty,27-05-22,"$5,964.00 ",26,$178.92 ,$298.20 ,Brien,Boise
Jan Morforth,Australia,Drinking Coco,18-02-22,"$2,821.00 ",24,$84.63 ,$141.05 ,Jan,Morforth
Brien Boise,India,Spicy Special Slims,28-01-22,"$1,302.00 ",33,$39.06 ,$65.10 ,Brien,Boise
Van Tuxwell,UK,Eclairs,29-06-22,"$5,474.00 ",109,$164.22 ,$273.70 ,Van,Tuxwell
Wilone O'Kielt,India,Caramel Stuffed Bars,13-01-22,"$4,179.00 ",276,$125.37 ,$208.95 ,Wilone,O'Kielt
Jehu Rudeforth,UK,After Nines,27-06-22,"$1,946.00 ",164,$58.38 ,$97.30 ,Jehu,Rudeforth
Barr Faughny,Canada,White Choc,29-03-22,"$4,291.00 ",1,$128.73 ,$214.55 ,Barr,Faughny
Gunar Cockshoot,India,Organic Choco Syrup,03-06-22,"$7,196.00 ",160,$215.88 ,$359.80 ,Gunar,Cockshoot
Mallorie Waber,Canada,Smooth Sliky Salty,21-03-22,"$1,939.00 ",98,$58.17 ,$96.95 ,Mallorie,Waber
Mallorie Waber,India,Eclairs,12-04-22,"$10,437.00 ",46,$313.11 ,$521.85 ,Mallorie,Waber
Rafaelita Blaksland,Australia,Raspberry Choco,19-01-22,"$6,916.00 ",259,$207.48 ,$345.80 ,Rafaelita,Blaksland
Karlen McCaffrey,UK,50% Dark Bites,06-04-22,"$3,647.00 ",310,$109.41 ,$182.35 ,Karlen,McCaffrey
Kaine Padly,Australia,50% Dark Bites,02-08-22,"$8,995.00 ",78,$269.85 ,$449.75 ,Kaine,Padly
Gigi Bohling,Australia,Eclairs,12-04-22,"$7,252.00 ",136,$217.56 ,$362.60 ,Gigi,Bohling
Oby Sorrel,India,Drinking Coco,21-07-22,"$16,380.00 ",130,$491.40 ,$819.00 ,Oby,Sorrel
Van Tuxwell,New Zealand,Baker's Choco Chips,22-03-22,"$9,660.00 ",24,$289.80 ,$483.00 ,Van,Tuxwell
Husein Augar,India,Peanut Butter Cubes,09-05-22,"$4,522.00 ",5,$135.66 ,$226.10 ,Husein,Augar
Andria Kimpton,Australia,Baker's Choco Chips,09-08-22,$329.00 ,109,$9.87 ,$16.45 ,Andria,Kimpton
Madelene Upcott,Canada,Choco Coated Almonds,20-07-22,"$3,458.00 ",294,$103.74 ,$172.90 ,Madelene,Upcott
Brien Boise,India,70% Dark Bites,14-04-22,"$4,641.00 ",413,$139.23 ,$232.05 ,Brien,Boise
Jehu Rudeforth,Canada,White Choc,25-01-22,"$4,627.00 ",136,$138.81 ,$231.35 ,Jehu,Rudeforth
Andria Kimpton,Australia,Almond Choco,25-04-22,"$3,192.00 ",175,$95.76 ,$159.60 ,Andria,Kimpton
Dotty Strutley,Canada,After Nines,17-01-22,$252.00 ,237,$7.56 ,$12.60 ,Dotty,Strutley
Karlen McCaffrey,USA,Eclairs,15-08-22,$868.00 ,125,$26.04 ,$43.40 ,Karlen,McCaffrey
Karlen McCaffrey,Canada,Fruit & Nut Bars,02-06-22,$210.00 ,16,$6.30 ,$10.50 ,Karlen,McCaffrey
Gunar Cockshoot,USA,85% Dark Bars,30-06-22,"$7,007.00 ",135,$210.21 ,$350.35 ,Gunar,Cockshoot
Dotty Strutley,New Zealand,Raspberry Choco,10-02-22,"$5,845.00 ",91,$175.35 ,$292.25 ,Dotty,Strutley
Marney O'Breen,Canada,Caramel Stuffed Bars,23-02-22,"$1,372.00 ",614,$41.16 ,$68.60 ,Marney,O'Breen
Dennison Crosswaite,India,Organic Choco Syrup,27-01-22,"$8,428.00 ",216,$252.84 ,$421.40 ,Dennison,Crosswaite
Camilla Castle,UK,Mint Chip Choco,26-05-22,"$4,977.00 ",317,$149.31 ,$248.85 ,Camilla,Castle
Brien Boise,USA,70% Dark Bites,14-04-22,"$1,694.00 ",21,$50.82 ,$84.70 ,Brien,Boise
Madelene Upcott,Australia,99% Dark & Pure,01-08-22,"$4,326.00 ",154,$129.78 ,$216.30 ,Madelene,Upcott
Mallorie Waber,Australia,Eclairs,22-08-22,"$9,527.00 ",222,$285.81 ,$476.35 ,Mallorie,Waber
Marney O'Breen,India,99% Dark & Pure,22-07-22,"$10,766.00 ",157,$322.98 ,$538.30 ,Marney,O'Breen
Husein Augar,USA,Fruit & Nut Bars,28-04-22,"$1,288.00 ",27,$38.64 ,$64.40 ,Husein,Augar
Kelci Walkden,Australia,Almond Choco,30-05-22,"$4,879.00 ",350,$146.37 ,$243.95 ,Kelci,Walkden
Ches Bonnell,USA,Milk Bars,21-07-22,"$2,408.00 ",157,$72.24 ,$120.40 ,Ches,Bonnell
Jan Morforth,UK,Caramel Stuffed Bars,02-08-22,"$3,094.00 ",468,$92.82 ,$154.70 ,Jan,Morforth
Brien Boise,New Zealand,70% Dark Bites,15-06-22,"$7,231.00 ",130,$216.93 ,$361.55 ,Brien,Boise
Oby Sorrel,India,85% Dark Bars,05-07-22,"$8,981.00 ",130,$269.43 ,$449.05 ,Oby,Sorrel
Kaine Padly,New Zealand,Smooth Sliky Salty,12-04-22,$7.00 ,518,$0.21 ,$0.35 ,Kaine,Padly
Gigi Bohling,Australia,70% Dark Bites,18-08-22,"$1,372.00 ",105,$41.16 ,$68.60 ,Gigi,Bohling
Jan Morforth,UK,50% Dark Bites,12-01-22,"$5,250.00 ",293,$157.50 ,$262.50 ,Jan,Morforth
Gunar Cockshoot,Canada,White Choc,11-08-22,"$7,560.00 ",15,$226.80 ,$378.00 ,Gunar,Cockshoot
Jehu Rudeforth,Australia,Spicy Special Slims,13-01-22,"$5,012.00 ",384,$150.36 ,$250.60 ,Jehu,Rudeforth
Husein Augar,UK,Baker's Choco Chips,29-04-22,"$3,038.00 ",135,$91.14 ,$151.90 ,Husein,Augar
Rafaelita Blaksland,New Zealand,After Nines,07-07-22,"$1,099.00 ",92,$32.97 ,$54.95 ,Rafaelita,Blaksland
Madelene Upcott,New Zealand,Mint Chip Choco,11-03-22,"$7,413.00 ",4,$222.39 ,$370.65 ,Madelene,Upcott
Madelene Upcott,UK,70% Dark Bites,16-02-22,"$5,397.00 ",239,$161.91 ,$269.85 ,Madelene,Upcott
Barr Faughny,Australia,Organic Choco Syrup,07-01-22,"$2,303.00 ",33,$69.09 ,$115.15 ,Barr,Faughny
Beverie Moffet,New Zealand,Drinking Coco,12-01-22,"$1,141.00 ",518,$34.23 ,$57.05 ,Beverie,Moffet
Beverie Moffet,India,Eclairs,09-06-22,"$10,325.00 ",147,$309.75 ,$516.25 ,Beverie,Moffet
Andria Kimpton,India,Eclairs,16-05-22,"$2,149.00 ",84,$64.47 ,$107.45 ,Andria,Kimpton
Gigi Bohling,UK,85% Dark Bars,23-06-22,"$12,362.00 ",94,$370.86 ,$618.10 ,Gigi,Bohling
Roddy Speechley,UK,Raspberry Choco,28-01-22,"$12,635.00 ",194,$379.05 ,$631.75 ,Roddy,Speechley
Dotty Strutley,UK,Mint Chip Choco,14-07-22,"$2,443.00 ",216,$73.29 ,$122.15 ,Dotty,Strutley
Barr Faughny,Canada,Drinking Coco,18-04-22,"$6,237.00 ",247,$187.11 ,$311.85 ,Barr,Faughny
Oby Sorrel,USA,Milk Bars,14-06-22,"$1,736.00 ",79,$52.08 ,$86.80 ,Oby,Sorrel
Oby Sorrel,UK,Orange Choco,15-04-22,"$7,315.00 ",237,$219.45 ,$365.75 ,Oby,Sorrel
Curtice Advani,Canada,Peanut Butter Cubes,19-05-22,"$4,935.00 ",63,$148.05 ,$246.75 ,Curtice,Advani
